This document is best viewed on desktops and laptops. Copyright Michael Simmons 2017-2019. All Right Reserved.																												
Master one mental model per month starting with the most useful and universals models at http://www.mentalmodelclub.com									Jeff Bezos	Dave McClure	Andy Rachleff	Balaji S. Srinivasan	Paul Graham	Frank Robinson	Ray Dalio	 Robert Metcalfe	Thucydides	Adam Smith	Clayton Christenson	James Clear	Shane Parrish	Gabriel Weinberg	Scott Page	Charlie Munger	Daniel Dennett 	Jack Barker	Hiten Shah	Brandon Chu
	Dunning-Kruger Effect 	 “Relatively unskilled persons suffer illusory superiority, mistakenly assessing their ability to be much higher than it really is…[and] highly skilled individuals may underestimate their relative competence and may erroneously assume that tasks which are easy for them are also easy for others.” (related: overconfidence effect)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Spacing Effect 	“The phenomenon whereby learning is greater when studying is spread out over time, as opposed to studying the same amount of time in a single session.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Productivity	Focus on High-leverage Activities 	“Leverage should be the central, guiding metric that helps you determine where to focus your time.” (related: Eisenhower decision matrix — “what is important is seldom urgent, and what is urgent is seldom important.”, “The best time to plant a tree was 20 years ago. The second best time is now.”, law of triviality — “members of an organisation give disproportionate weight to trivial issues.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Makers vs Manager’s Schedule	“When you’re operating on the maker’s schedule, meetings are a disaster.” (related: Deep Work)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Murphy’s Law	“Anything that can go wrong, will.” (related: Hofstadter’s Law, “It always takes longer than you expect, even when you take into account Hofstadter’s Law.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Parkinson’s Law	“Work expands so as to fill the time available for its completion.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Gate’s Law	“Most people overestimate what they can do in one year and underestimate what they can do in ten years.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Nature	Nature vs Nurture	“the relative importance of an individual’s innate qualities as compared to an individual’s personal experiences in causing individual differences, especially in behavioral traits.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	 Chain Reaction	“A sequence of reactions where a reactive product or by-product causes additional reactions to take place. In a chain reaction, positive feedback leads to a self-amplifying chain of events.” (related: cascading failure, domino effect)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Filling a Vacuum	A vacuum “is space void of matter.” Filling a vacuum refers to the fact that if a vacuum is put next to something with pressure, it will be quickly filled by the gas producing that pressure. (related: power vacuum)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Butterfly Effect	“The concept that small causes can have large effects.” (related: bullwhip effect — “increasing swings in inventory in response to shifts in customer demand as you move further up the supply chain.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Sustainability	“The endurance of systems and processes.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Peak Oil 	 “The point in time when the maximum rate of extraction of petroleum is reached, after which it is expected to enter terminal decline.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Philosophy	Consequentialism	“Holding that the consequences of one’s conduct are the ultimate basis for any judgment about the rightness or wrongness of that conduct.” (related: “ends justify the means”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Distributive Justice vs Procedural Justice 	“Procedural justice concerns the fairness and the transparency of the processes by which decisions are made, and may be contrasted with distributive justice (fairness in the distribution of rights or resources), and retributive justice (fairness in the punishment of wrongs).”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
